country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","14-04-2026 20:00:00",24.792403,84.992416,PM2.5,7,283,115
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","14-04-2026 20:00:00",24.792403,84.992416,CO,1,8,6
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","14-04-2026 20:00:00",24.762518,84.982348,NO2,15,26,19
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","14-04-2026 20:00:00",24.762518,84.982348,SO2,8,8,8
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","14-04-2026 20:00:00",25.560083,87.553265,PM2.5,27,68,43
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","14-04-2026 20:00:00",25.560083,87.553265,NO2,8,10,9
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","14-04-2026 20:00:00",25.560083,87.553265,NH3,1,1,1
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","14-04-2026 20:00:00",25.560083,87.553265,OZONE,5,39,10
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","14-04-2026 20:00:00",26.0881305,87.93840336,PM2.5,38,75,51
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","14-04-2026 20:00:00",26.0881305,87.93840336,OZONE,32,35,33
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","14-04-2026 20:00:00",27.308328,84.531742,PM10,101,500,153
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","14-04-2026 20:00:00",13.204880,79.097889,CO,8,22,15
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","14-04-2026 20:00:00",16.316553,80.413302,PM2.5,73,95,79
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","14-04-2026 20:00:00",14.465052,78.824187,SO2,11,20,19
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","14-04-2026 20:00:00",14.465052,78.824187,CO,20,35,26
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","14-04-2026 20:00:00",16.186555,81.13219,PM2.5,55,79,71
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","14-04-2026 20:00:00",16.186555,81.13219,PM10,48,71,63
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","14-04-2026 20:00:00",16.186555,81.13219,NO2,6,21,12
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","14-04-2026 20:00:00",16.186555,81.13219,OZONE,35,42,38
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ","14-04-2026 20:00:00","14.438164 ","79.966814 ",PM10,22,75,41
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ","14-04-2026 20:00:00","14.438164 ","79.966814 ",CO,14,113,24
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","14-04-2026 20:00:00",25.251013,86.989001,CO,34,53,40
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","14-04-2026 20:00:00",25.251013,86.989001,OZONE,8,27,15
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","14-04-2026 20:00:00",25.265194,87.012947,PM2.5,12,65,34
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","14-04-2026 20:00:00",25.265194,87.012947,NH3,6,8,7
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","14-04-2026 20:00:00",25.265194,87.012947,CO,78,98,85
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","14-04-2026 20:00:00",25.204762,85.514960,SO2,10,10,10
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","14-04-2026 20:00:00",25.204762,85.514960,OZONE,1,3,2
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","14-04-2026 20:00:00",25.567520,83.966379,CO,18,29,24
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","14-04-2026 20:00:00",25.7808257,84.7446768,PM10,68,87,74
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","14-04-2026 20:00:00",25.7808257,84.7446768,NH3,6,10,8
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","14-04-2026 20:00:00",16.554731,80.649110,PM10,48,64,54
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","14-04-2026 20:00:00",17.72,83.3,NH3,3,4,3
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","14-04-2026 20:00:00",27.103358,93.679645,CO,10,32,11
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","14-04-2026 20:00:00",26.071318,91.87488,SO2,6,32,29
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","14-04-2026 20:00:00",26.071318,91.87488,CO,3,114,72
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","14-04-2026 20:00:00",26.071318,91.87488,OZONE,13,44,32
India,Assam,Guwahati,"IITG, Guwahati - PCBA","14-04-2026 20:00:00",26.2028636,91.70046436,NO2,NA,NA,NA
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","14-04-2026 20:00:00",26.10887,91.589544,PM10,NA,NA,NA
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","14-04-2026 20:00:00",16.9872867,81.7363176,NH3,2,4,3
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","14-04-2026 20:00:00",13.67,79.35,OZONE,32,96,79
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","14-04-2026 20:00:00",13.615387,79.409230,PM10,56,84,64
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","14-04-2026 20:00:00",13.615387,79.409230,OZONE,18,39,38
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","14-04-2026 20:00:00",16.536107,80.594233,PM10,57,433,103
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","14-04-2026 20:00:00",16.536107,80.594233,OZONE,20,38,38
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","14-04-2026 20:00:00",16.486692,80.699436,PM10,51,87,62
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","14-04-2026 20:00:00",16.509717,80.612222,PM10,40,71,55
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","14-04-2026 20:00:00",26.146529,87.454184,NO2,1,15,5
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","14-04-2026 20:00:00",26.146529,87.454184,SO2,5,79,46
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","14-04-2026 20:00:00",26.146529,87.454184,CO,50,106,62
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","14-04-2026 20:00:00",25.5626095,84.663264,OZONE,5,23,10
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","14-04-2026 20:00:00",24.75746,84.366208,NH3,1,2,1
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","14-04-2026 20:00:00",24.75746,84.366208,SO2,1,29,16
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","14-04-2026 20:00:00",26.80365,84.51954,PM2.5,5,60,34
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","14-04-2026 20:00:00",26.80365,84.51954,PM10,7,71,41
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","14-04-2026 20:00:00",26.181742,91.78063,PM10,23,125,42
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","14-04-2026 20:00:00",26.181742,91.78063,NO2,3,4,3
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","14-04-2026 20:00:00",26.349082,92.68449,NO2,1,3,1
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","14-04-2026 20:00:00",26.349082,92.68449,SO2,6,14,12
India,Assam,Silchar,"Tarapur, Silchar - PCBA","14-04-2026 20:00:00",24.82827,92.79525,PM2.5,38,75,55
India,Assam,Silchar,"Tarapur, Silchar - PCBA","14-04-2026 20:00:00",24.82827,92.79525,PM10,42,62,48
India,Assam,Silchar,"Tarapur, Silchar - PCBA","14-04-2026 20:00:00",24.82827,92.79525,SO2,4,7,5
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","14-04-2026 20:00:00",26.11442,85.39813,NH3,14,23,19
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","14-04-2026 20:00:00",26.11442,85.39813,SO2,6,13,9
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","14-04-2026 20:00:00",25.251013,86.989001,PM2.5,40,170,81
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","14-04-2026 20:00:00",14.675886,77.593027,NO2,24,26,26
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","14-04-2026 20:00:00",21.371751,81.664929,NH3,3,3,3
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","14-04-2026 20:00:00",21.371751,81.664929,CO,17,20,17
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","14-04-2026 20:00:00",21.371751,81.664929,OZONE,4,128,58
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","14-04-2026 20:00:00",22.06631475,83.33820077,NO2,30,99,65
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","14-04-2026 20:00:00",22.06631475,83.33820077,OZONE,15,116,86
India,Delhi,Delhi,"Alipur, Delhi - DPCC","14-04-2026 20:00:00",28.815329,77.153010,NH3,1,18,7
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","14-04-2026 20:00:00",28.647622,77.3158090,NO2,53,140,96
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","14-04-2026 20:00:00",28.647622,77.3158090,NH3,5,8,7
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","14-04-2026 20:00:00",25.892357,86.590325,CO,36,38,36
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","14-04-2026 20:00:00",24.952822,84.002396,PM2.5,8,83,31
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","14-04-2026 20:00:00",26.2271665,84.3570427,PM2.5,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","14-04-2026 20:00:00",26.2271665,84.3570427,OZONE,12,18,16
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","14-04-2026 20:00:00",30.735567,76.775714,PM2.5,10,97,53
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","14-04-2026 20:00:00",30.735567,76.775714,NH3,12,22,17
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","14-04-2026 20:00:00",30.735567,76.775714,SO2,6,19,11
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","14-04-2026 20:00:00",28.695381,77.181665,SO2,14,51,29
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","14-04-2026 20:00:00",28.4706914,77.1099364,PM2.5,19,188,70
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","14-04-2026 20:00:00",28.4706914,77.1099364,OZONE,11,91,80
India,Delhi,Delhi,"Bawana, Delhi - DPCC","14-04-2026 20:00:00",28.776200,77.051074,PM2.5,37,404,164
India,Delhi,Delhi,"Bawana, Delhi - DPCC","14-04-2026 20:00:00",28.776200,77.051074,NH3,4,6,5
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","14-04-2026 20:00:00",28.5512005,77.2735737,OZONE,21,100,73
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","14-04-2026 20:00:00",21.194815,81.314770,CO,14,74,19
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","14-04-2026 20:00:00",21.185571,81.343175,NO2,13,14,13
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","14-04-2026 20:00:00",22.08815,82.13737,SO2,10,20,14
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","14-04-2026 20:00:00",22.118125,83.140608,PM10,NA,NA,NA
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","14-04-2026 20:00:00",22.118125,83.140608,SO2,NA,NA,NA
